horizon,FNO,TFNO,U-Net,CNextU-Net,persistence,mean
1,1.394830,23.702442,0.023243,0.039166,0.311520,1.007413
2,4.594166,475.135254,0.039530,0.059532,0.604639,1.026620
3,14.194603,10692.347656,0.066313,0.084268,0.892251,1.060612
4,40.399284,253147.703125,0.103552,0.112589,1.179773,1.115157
5,122.784378,6348224.500000,0.151911,0.143667,1.465202,1.186053
6,418.969452,165201792.000000,0.213214,0.176925,1.741827,1.261184
7,1518.077148,4364641280.000000,0.291049,0.211988,1.998209,1.334405
8,5592.257812,116676042752.000000,0.390235,0.248801,2.229463,1.419859
9,20814.583984,3197543907328.000000,0.514712,0.287867,2.448712,1.544680
10,78649.312500,91120742694912.000000,0.665938,0.329709,2.677488,1.717531
11,302481.375000,2710062086750208.000000,0.844063,0.374229,2.934406,1.933134
12,1187703.125000,83750419162988544.000000,1.050480,0.420445,3.234987,2.191472
13,4774835.000000,inf,1.291524,0.467260,3.596942,2.500840
14,19756386.000000,inf,1.582074,0.514812,4.047114,2.879069
15,84827776.000000,inf,1.947655,0.565577,4.632770,3.360574
16,385100864.000000,inf,2.435219,0.625446,5.457014,4.023719
17,1905497984.000000,inf,3.149504,0.705881,6.748391,5.044826
18,10317429760.000000,inf,4.287500,0.826384,8.896446,6.725148
19,56662114304.000000,inf,6.046875,1.008540,12.217146,9.307704
20,284723806208.000000,inf,8.450841,1.264265,16.607185,12.709822
21,1321115844608.000000,inf,11.422863,1.595933,21.770977,16.706903
22,5878309715968.000000,inf,14.743580,1.986904,27.205368,20.920433
23,25190545227776.000000,inf,17.952164,2.388096,32.005936,24.650196
24,104843666522112.000000,nan,20.560150,2.726591,35.330338,27.241550
25,429226515759104.000000,nan,22.687954,3.005842,37.560356,28.993176
26,1725078983147520.000000,nan,24.532986,3.246846,39.155987,30.266415
27,6894728180137984.000000,nan,26.536650,3.494071,40.882954,31.655508
28,27793235883589632.000000,nan,29.147612,3.795695,43.420464,33.688549
29,112777938453135360.000000,nan,32.322746,4.154856,46.682919,36.296757
30,inf,nan,35.203354,4.484362,49.425323,38.503113
