horizon,FNO_median,FNO_p10,FNO_p90,TFNO_median,TFNO_p10,TFNO_p90,U-Net_median,U-Net_p10,U-Net_p90,CNextU-Net_median,CNextU-Net_p10,CNextU-Net_p90,persistence_median,persistence_p10,persistence_p90,mean_median,mean_p10,mean_p90
1,1.203210,1.057504,1.806500,22.418819,20.754765,28.798958,0.017014,0.012003,0.048105,0.035673,0.023368,0.065375,0.287798,0.179380,0.544532,1.004656,1.000704,1.019914
2,4.039364,2.124541,7.699210,455.401367,425.590942,536.313477,0.031893,0.023077,0.074393,0.062630,0.037501,0.088850,0.554894,0.310926,1.148076,1.019373,1.001840,1.081842
3,13.041519,5.616200,25.537746,10509.138672,8543.149414,13193.076172,0.052909,0.037902,0.124158,0.086407,0.053232,0.121994,0.803608,0.406376,1.816803,1.030493,1.002634,1.203683
4,39.368683,16.611176,76.401985,252305.000000,176310.453125,340711.312500,0.080304,0.050294,0.208997,0.114391,0.065936,0.164233,1.030156,0.467995,2.539709,1.041782,1.003194,1.412363
5,108.841072,54.226799,240.745026,6254570.000000,3786753.500000,9347496.000000,0.119832,0.061699,0.308682,0.143147,0.074077,0.204484,1.243331,0.507658,3.318641,1.068985,1.003730,1.687212
6,376.516083,180.605072,828.341370,160967232.000000,85267640.000000,250357568.000000,0.175933,0.072621,0.404637,0.183266,0.085407,0.259124,1.427553,0.534916,4.033866,1.108183,1.004329,1.959982
7,1341.587158,607.980896,3016.612305,4207571456.000000,2080257920.000000,6927723520.000000,0.247283,0.084084,0.548647,0.223570,0.099265,0.314301,1.598198,0.557363,4.590485,1.153702,1.004818,2.094844
8,4831.133789,2103.789307,11732.185547,110254465024.000000,59495129088.000000,194258763776.000000,0.352211,0.096080,0.771106,0.252525,0.113521,0.381343,1.815019,0.576957,5.016222,1.202800,1.005445,2.225772
9,17055.722656,7456.650391,43366.070312,2938449690624.000000,1496714182656.000000,5490976227328.000000,0.488204,0.108915,1.034108,0.281777,0.133503,0.458944,2.027995,0.594525,5.161882,1.228161,1.006165,2.488223
10,60798.953125,25984.115234,175040.890625,80476354117632.000000,37675033690112.000000,164111824453632.000000,0.661271,0.122491,1.337144,0.309208,0.152374,0.541888,2.207818,0.610663,5.315689,1.264540,1.006951,2.915767
11,216142.421875,91488.414062,686833.375000,2163303623163904.000000,942773641412608.000000,4951944284078080.000000,0.874937,0.136723,1.672136,0.342616,0.161818,0.637577,2.316086,0.625623,5.572570,1.287915,1.007783,3.457511
12,758384.000000,316530.312500,2692214.000000,61126670341373952.000000,24393683369459712.000000,151608548797710336.000000,1.119503,0.147890,2.012380,0.378696,0.177499,0.750093,2.373148,0.639167,6.042580,1.322032,1.008553,4.011530
13,2748968.000000,1115933.875000,10414269.000000,532073433530368000.000000,306291881862496256.000000,702514606467186688.000000,1.220420,0.159273,2.445475,0.404245,0.195520,0.843580,2.345074,0.651259,6.605471,1.371366,1.009442,4.542421
14,9628170.000000,3897571.000000,39803312.000000,nan,nan,nan,1.255313,0.169502,3.021760,0.441548,0.214852,0.889799,2.303634,0.662784,7.324159,1.359938,1.010367,5.134350
15,33551262.000000,13590312.000000,163799728.000000,nan,nan,nan,1.226056,0.179634,4.059587,0.469856,0.234408,0.935600,2.283256,0.673861,8.239615,1.322006,1.011332,5.885036
16,118041792.000000,48772636.000000,668635456.000000,nan,nan,nan,1.262038,0.189473,5.132744,0.517048,0.246732,1.018409,2.322759,0.684635,9.339453,1.289617,1.012656,6.823821
17,414243328.000000,175968336.000000,2764457984.000000,nan,nan,nan,1.299308,0.199271,6.281637,0.555165,0.255220,1.125919,2.312291,0.695108,10.640490,1.275310,1.014734,7.915635
18,1446507904.000000,637528704.000000,11435374592.000000,nan,nan,nan,1.288025,0.210260,7.759156,0.570714,0.263739,1.167894,2.241031,0.705917,11.656592,1.260808,1.017862,8.590790
19,5134146560.000000,2290805248.000000,48159297536.000000,nan,nan,nan,1.378620,0.220469,8.776457,0.584122,0.272193,1.228559,2.214333,0.716489,12.746500,1.255367,1.017084,9.681873
20,18019045376.000000,8233373696.000000,203704057856.000000,nan,nan,nan,1.420657,0.229267,9.705267,0.599289,0.280200,1.459813,2.203449,0.726804,13.633784,1.253542,1.018077,10.650124
21,63913000960.000000,28899209216.000000,873752625152.000000,nan,nan,nan,1.477811,0.237317,10.731753,0.614829,0.287146,1.500502,2.202603,0.736852,14.649818,1.256918,1.018194,11.519469
22,226256683008.000000,101155618816.000000,3807962464256.000000,nan,nan,nan,1.549538,0.244906,11.748726,0.632238,0.296553,1.672184,2.205327,0.746617,15.512487,1.257897,1.019435,12.261133
23,844102303744.000000,359183876096.000000,15995763687424.000000,nan,nan,nan,1.603634,0.252162,12.598689,0.651114,0.303517,1.868010,2.205756,0.755939,16.003899,1.243723,1.020815,12.549253
