horizon,FNO,TFNO,U-Net,CNextU-Net,persistence,mean
1,75.057381,78.815079,3.790942,1.634475,0.013629,0.528359
2,131.803833,127.451981,7.625170,2.976097,0.025416,0.533025
3,95.646606,83.042618,11.530382,4.205284,0.036351,0.537967
4,75.339142,93.152893,15.654819,5.311239,0.047168,0.543512
5,54.082176,78.153236,20.142204,6.304157,0.059821,0.551137
6,55.564060,71.630554,25.117947,7.202406,0.075869,0.562512
7,48.607834,66.795776,30.509464,8.004982,0.094755,0.577006
8,48.156712,64.378952,36.537788,8.731801,0.114371,0.592480
9,46.187714,61.112389,43.247799,9.401497,0.135660,0.609603
10,44.955791,59.081791,50.501076,9.998259,0.157775,0.627636
11,43.502289,57.392487,57.849895,10.565759,0.180071,0.646388
12,41.932278,55.650909,64.945427,11.118752,0.202947,0.666094
13,40.282013,53.995518,71.649200,11.675013,0.226142,0.686304
14,38.523094,52.206100,77.804367,12.257124,0.249457,0.706871
15,36.680641,50.339714,83.152451,12.836781,0.272790,0.727566
16,34.781677,48.348763,87.446510,13.407820,0.295652,0.747837
17,32.882511,46.308922,90.672485,13.990353,0.317844,0.767539
18,31.017702,44.252766,92.974045,14.623614,0.339246,0.786657
19,29.125170,42.081543,94.153275,15.328819,0.360397,0.805661
20,27.232880,39.826614,94.294998,16.104277,0.380959,0.824219
21,25.361485,37.512848,93.523445,16.921143,0.400694,0.842042
22,23.521164,35.155273,91.924545,17.731737,0.419536,0.859019
23,21.747187,32.807922,89.613754,18.516508,0.437250,0.874856
24,19.985344,30.393562,86.351624,19.114433,0.454124,0.889834
25,18.318686,28.052580,82.639313,19.526957,0.469575,0.903499
26,16.733910,25.777409,78.570114,19.712120,0.483830,0.916086
27,15.237351,23.598013,74.221298,19.641481,0.496919,0.927651
28,13.802174,21.480801,69.630768,19.277182,0.509005,0.938285
29,12.456518,19.478106,65.052933,18.687529,0.520050,0.947884
30,11.167989,17.525831,60.214142,17.830973,0.530165,0.956472
