horizon,FNO,TFNO,U-Net,CNextU-Net,persistence,mean
1,2.031089,4.338454,0.171010,0.142459,0.620026,1.007750
2,2.788081,4.677422,0.257202,0.207486,0.736095,1.034863
3,8.720543,4.514554,0.346663,0.253267,0.802712,1.080096
4,95.239799,4.746786,0.454626,0.327954,0.960601,1.172946
5,1051.981079,4.493241,0.518236,0.350277,1.018973,1.214728
6,13294.933594,4.146743,0.559188,0.390641,0.999671,1.201019
7,182517.671875,4.018354,0.625324,0.440603,1.042528,1.247715
8,2677577.000000,3.963307,0.675389,0.474216,1.103598,1.304152
9,35573456.000000,3.927636,0.708795,0.525134,1.151401,1.334905
10,452784128.000000,3.821490,0.733608,0.580784,1.175638,1.354207
11,6869571072.000000,3.983797,0.803852,0.661631,1.317003,1.485564
12,106541514752.000000,4.033113,0.873563,0.757752,1.425246,1.585930
13,1568121552896.000000,4.196261,0.930022,0.861939,1.532768,1.683946
14,23430638338048.000000,4.422954,0.999620,0.912412,1.643658,1.793370
15,352930750267392.000000,4.265323,1.033119,0.931306,1.630609,1.781703
16,inf,4.181856,1.092117,0.937381,1.578228,1.705780
17,inf,4.126440,1.189283,0.951013,1.612019,1.726249
18,inf,4.278646,1.210458,0.921314,1.516546,1.623564
19,inf,4.303036,1.274456,0.958615,1.547025,1.651709
20,inf,4.296459,1.271636,0.964468,1.529834,1.626378
21,inf,4.393507,1.280699,0.945295,1.508143,1.582790
22,inf,4.223759,1.266228,0.952408,1.508517,1.583479
23,inf,4.152865,1.275868,0.996458,1.544136,1.619586
24,inf,4.400126,1.327888,1.074373,1.633906,1.694435
25,inf,4.210535,1.338742,1.082087,1.626940,1.700346
26,inf,4.170019,1.365338,1.099299,1.634852,1.717361
27,inf,4.127698,1.390072,1.130815,1.616324,1.709710
28,inf,3.917045,1.435789,1.126535,1.595712,1.702752
29,inf,3.853466,1.510043,1.205332,1.610722,1.722048
30,inf,3.750368,1.521700,1.202294,1.579190,1.699193
