horizon,FNO_median,FNO_p10,FNO_p90,TFNO_median,TFNO_p10,TFNO_p90,U-Net_median,U-Net_p10,U-Net_p90,CNextU-Net_median,CNextU-Net_p10,CNextU-Net_p90,persistence_median,persistence_p10,persistence_p90,mean_median,mean_p10,mean_p90
1,2.242396,1.278463,2.493319,4.864882,2.784539,5.059488,0.171747,0.151113,0.189426,0.140345,0.123881,0.166790,0.680274,0.417643,0.776763,1.002688,1.000003,1.018891
2,3.172353,1.512467,3.536594,5.078078,2.872139,5.451389,0.255178,0.223096,0.295719,0.216170,0.164304,0.229019,0.809464,0.576752,0.847904,1.020947,1.005821,1.067445
3,9.400061,2.635050,13.931831,4.850863,2.603827,5.598850,0.327083,0.311141,0.389919,0.258748,0.213024,0.288753,0.832819,0.686683,0.848607,1.040737,1.008093,1.169816
4,100.789391,28.482227,157.043808,5.039092,2.971535,5.877105,0.452146,0.421505,0.485835,0.321536,0.269696,0.390598,0.967561,0.889845,1.045865,1.097797,1.017068,1.326439
5,1093.419678,337.772095,1572.762329,4.721365,2.503137,5.551894,0.517733,0.461879,0.583948,0.355794,0.312801,0.395814,1.019022,0.876392,1.188848,1.148332,1.029621,1.482008
6,13858.483398,5133.205078,20035.958984,4.375163,2.167585,5.483996,0.567803,0.474202,0.641341,0.411361,0.333464,0.435157,0.943897,0.818276,1.253599,1.189251,1.041630,1.300098
7,196091.843750,70265.351562,268927.000000,4.313954,1.978447,5.245430,0.654120,0.488304,0.712396,0.440851,0.349743,0.510978,1.025620,0.888303,1.194319,1.216894,1.069641,1.455535
8,2861119.500000,996099.500000,3911986.500000,4.337112,1.775889,5.441905,0.716743,0.490831,0.775729,0.482180,0.353473,0.566197,1.029937,0.927489,1.380536,1.255138,1.096921,1.539707
9,39907548.000000,13488899.000000,52334292.000000,4.675258,1.658194,5.460755,0.747545,0.544823,0.821237,0.542767,0.364260,0.622342,1.107049,0.984900,1.339815,1.310308,1.131717,1.540888
10,565187456.000000,169672464.000000,678372096.000000,4.582726,1.585010,5.588856,0.746121,0.585925,0.893797,0.572277,0.430048,0.703654,1.213262,0.988179,1.293087,1.354630,1.143331,1.574058
11,8300250624.000000,2621944576.000000,10656052224.000000,4.977322,1.482917,5.901031,0.837876,0.619372,0.995819,0.632459,0.539329,0.830539,1.338287,1.052791,1.630138,1.436896,1.151816,1.740972
12,121541787648.000000,38112079872.000000,169010937856.000000,5.070796,1.387130,5.939945,0.825407,0.756912,1.041005,0.691914,0.613188,0.990078,1.441053,1.193268,1.680290,1.569514,1.174260,1.920746
13,1775801466880.000000,499009159168.000000,2623687360512.000000,5.091480,1.388960,6.278444,0.902634,0.784803,1.112200,0.874245,0.635237,1.189606,1.550941,1.225057,1.756851,1.734018,1.234862,1.997586
14,24665221234688.000000,5975410999296.000000,40983299358720.000000,5.635828,1.179658,6.584675,0.994235,0.750123,1.212037,0.959508,0.612638,1.265206,1.700866,1.193589,2.050917,1.690587,1.247603,2.296760
15,318213824970752.000000,97263225405440.000000,662433878245376.000000,4.577255,1.163806,6.897099,1.068518,0.713980,1.350027,0.874239,0.672535,1.178916,1.613642,1.219688,1.938608,1.748959,1.263254,2.162061
16,989456714694656.000000,711503007186944.000000,1267410489311232.000000,4.224294,1.126781,7.231339,1.172591,0.707176,1.466955,0.820015,0.638121,1.272688,1.355764,1.244552,2.064625,1.628538,1.251345,2.064226
17,nan,nan,nan,4.424165,1.103698,6.834782,1.290011,0.730606,1.530153,0.785486,0.640356,1.337599,1.427751,1.229311,2.070815,1.729112,1.233089,2.180591
18,nan,nan,nan,3.901368,1.029891,7.724965,1.242746,0.732350,1.624570,0.818023,0.680699,1.255072,1.380997,1.047679,2.154562,1.575920,1.279309,2.038691
19,nan,nan,nan,3.882687,1.030106,7.939649,1.239944,0.805339,1.663099,0.845714,0.759442,1.317067,1.339716,1.132735,2.230101,1.555242,1.306666,2.099169
20,nan,nan,nan,4.015650,1.068304,7.858976,1.279692,0.770261,1.675342,0.849955,0.699251,1.307210,1.400548,1.005463,2.267132,1.384619,1.273373,2.107876
21,nan,nan,nan,4.243308,1.117757,8.017116,1.305754,0.816991,1.696243,0.828701,0.654664,1.328989,1.408524,0.933008,2.323729,1.381559,1.205384,2.152182
22,nan,nan,nan,4.058651,1.188437,7.445695,1.283244,0.810733,1.661958,0.899763,0.679504,1.291980,1.390978,0.979522,2.099763,1.465208,1.191995,2.019974
23,nan,nan,nan,3.689209,1.161607,7.524819,1.264201,0.803207,1.691491,0.880069,0.691176,1.349722,1.367839,1.043417,2.185855,1.371434,1.196227,2.142342
24,nan,nan,nan,4.724259,1.052410,7.897533,1.426440,0.776418,1.791667,0.800332,0.691558,1.693515,1.556066,1.035856,2.315646,1.411765,1.182578,2.282147
25,nan,nan,nan,3.911298,1.066162,8.208924,1.363989,0.816684,1.821916,0.920809,0.729630,1.567001,1.583495,0.994603,2.365866,1.489403,1.287031,2.357487
26,nan,nan,nan,4.243906,1.118066,8.166895,1.548995,0.858588,1.812907,0.891039,0.750217,1.735044,1.548149,0.993734,2.159192,1.593623,1.293154,2.269522
27,nan,nan,nan,3.786503,1.046191,8.273865,1.544232,0.757010,1.948504,0.819803,0.735087,1.803993,1.657512,0.949441,2.217244,1.540052,1.259324,2.321174
28,nan,nan,nan,3.779885,1.067435,7.473752,1.509303,0.844590,2.025044,0.918564,0.748437,1.733395,1.714374,0.972057,2.334181,1.535983,1.297071,2.455966
29,nan,nan,nan,3.411339,1.137631,7.433533,1.565206,0.831170,2.191376,0.984726,0.781469,1.737338,1.744063,0.947725,2.143090,1.453974,1.293646,2.263865
30,nan,nan,nan,4.057829,1.129639,6.907570,1.760580,0.824757,2.129920,1.031933,0.847618,1.914826,1.686600,0.972030,2.278425,1.448633,1.280377,2.459864
