horizon,Poseidon,persistence,mean
1,0.784619,0.792757,1.087854
2,0.840057,0.848352,1.147747
3,0.893886,0.89752,1.195599
4,0.949241,0.943151,1.24785
5,1.036488,1.022493,1.329118
6,1.136709,1.120572,1.428678
7,1.33006,1.309011,1.616106
8,1.364063,1.329577,1.639762
9,1.305812,1.254025,1.56661
10,1.352031,1.282703,1.592601
11,1.414563,1.334024,1.640061
12,1.461265,1.361574,1.662977
13,1.514156,1.390304,1.682791
14,1.694385,1.558445,1.847844
15,1.812674,1.665931,1.950631
16,1.93297,1.782791,2.062668
17,2.077622,1.907594,2.182506
18,2.082544,1.883477,2.151547
19,1.998472,1.761895,2.027292
20,2.04584,1.777646,2.037186
21,1.978667,1.64594,1.906805
22,2.04095,1.682171,1.941655
23,2.045011,1.65778,1.91227
24,2.038538,1.603052,1.854854
25,2.060791,1.607771,1.855668
26,2.117817,1.653616,1.894576
27,2.244423,1.724917,1.965259
28,2.262862,1.721164,1.965758
29,2.298248,1.733171,1.980257
30,2.315413,1.710332,1.961461
